14 W 15 162
33 R 2 98
34 R 12 172
9 W 10 137
6 R 11 79
10 R 3 41
41 R 13 28
1 R 14 65
6 W 2 1
32 R 10 13
9 R 18 130
46 W 3 2
36 R 12 180
23 W 16 176
8 R 13 147
36 R 12 167
45 W 17 167
8 W 5 125
14 R 15 66
24 R 2 31
34 R 17 191
2 W 16 179
23 W 4 4
1 R 19 83
7 W 17 152
46 W 9 26
37 R 11 40
3 R 19 168
41 R 6 152
24 R 16 152
6 R 6 23
5 W 14 104
42 W 18 158
7 W 11 85
38 R 8 193
13 W 4 24
45 W 4 111
27 R 15 89
21 W 16 195
2 W 4 162
21 R 3 80
5 W 15 127
22 W 9 134
25 W 6 133
32 W 19 171
33 R 5 154
26 W 3 16
40 W 1 6
1 R 9 4
46 R 11 124
9 R 14 142
16 W 5 147
1 R 11 95
0 R 10 155
42 W 16 192
